mutation_rate,treatment_coverage,beta,cost_of_resistances_factor,cycling_period,auc
0.0104249037895178,0.8054048884527754,0.1628363057497775,0.7622896086628457,417,4370.189716197365
0.012658789136179,0.332374039579116,0.0175256429880462,1.0277896698567548,658,916.266555645545
0.0073407566466427,0.5492751427683142,0.2089571277474783,1.0641177184863084,545,2078.7448241620814
0.0086153542417743,0.4330776331566065,0.199665886016642,0.9384551056754706,683,1231.1711368600036
0.0120802786599268,0.8209653125805176,0.4422206645012718,1.2223074650551786,799,4252.545966487203
0.0141617277636084,0.402578112257444,0.0259158143341559,0.8261682571466882,980,1942.190665601965
0.0054471528579961,0.4405129638949635,0.1490092320476168,1.158032579402761,1643,1331.0818953397759
0.0165109195944086,0.6538260136978348,0.3037556050146112,1.0195221149362952,955,3835.960568282349
0.0033609895968075,0.4010227493148277,0.022208364963583,0.9842418731022916,1678,606.4315486539899
0.0050099505728821,0.8731782792352456,0.0278960830660651,1.1044018363019283,1387,5695.8044847191995
0.0187902786820155,0.5024630296712326,0.0101038148707054,1.2726920112088345,1453,4010.5974739864
0.0053246273302794,0.8690914778193695,0.0137391380637202,1.2053932293341918,1506,5942.317898329985
0.0027133150125522,0.8879305827695847,0.0883951747024242,0.9946886556408114,1492,4828.574767278835
0.018136463200947,0.5421851452357439,0.0541584990822615,0.9235563111237908,1534,3801.9832835762504
0.0033653398418348,0.884041938629097,0.0103684860972601,1.198941770692353,1735,37.03677589255
0.0040136195015253,0.4851859281312324,0.11975698327024,0.8597150053236302,1169,1051.240310873472
0.0086014813554309,0.2514979207993937,0.0455964209625841,0.8080050976766027,955,158.7148762749385
0.0023897883602399,0.4982901709772022,0.0734929755522725,1.1979992251770542,539,612.537069294026
0.011250408337334,0.3060902363766113,0.2715520411070835,1.2835604355031225,1332,592.547608837852
0.0089922749078768,0.7829732243886378,0.0160321287149859,0.9889679378247505,497,5086.157862609705
0.017796262708573,0.4323546033911294,0.0200192669611698,0.7532483995313648,1392,2873.070930659905
0.0049014984695074,0.5135910309680752,0.1560948461070211,1.253181687214077,1255,1846.1865057784617
0.0136878279626381,0.7286728154478499,0.0100635177093962,1.1269650527438964,1282,416.1782072933
0.0182385688997869,0.2677335551227626,0.0615916704996633,1.2677240390401456,1086,470.339514849795
0.0066089870128597,0.7199029671555124,0.1008391436712926,1.244368444941652,1607,4691.959761225098
0.0091461332607742,0.4933905449919525,0.1249588142063518,0.9944380457424098,605,1589.6488365301384
0.0161245519117982,0.8756519524165589,0.140646874249656,0.9328926715374252,960,5327.940867973935
0.002998358683212,0.7917790481648246,0.0279337380178831,1.04140022882139,1180,4555.473788688365
0.0185596562036526,0.2407894963829947,0.0237680912698901,0.7868902282582104,1158,278.854290036025
0.0072933131982191,0.3288312224867881,0.0230134820649912,0.93095060082223,887,506.4753306266749
0.0028497202751958,0.7263959300408958,0.2944378381422463,0.90257345264842,1407,3111.9775032720577
0.008363000588294,0.5726745988815538,0.029467588002696,0.7053795388581097,859,3365.7400815520396
0.0040336564009923,0.8131290428485032,0.5521054470389581,1.0811736464574526,1221,3188.607661037574
0.0088965849079761,0.7049625954438465,0.0780406080725891,1.1746803714513228,1306,4271.470126080194
0.0148301364786381,0.3680890187750089,0.0238462927761995,0.8235489863435392,1348,1639.038347228655
0.0060907682045792,0.6739183570555167,0.0263561746915547,1.2041838864524026,1763,4698.61417213809
0.0173831443515892,0.7014318856524802,0.0185292236160851,1.1275013634645097,1803,5850.69304144318
0.0027043004751848,0.4136994775696434,0.036852282917218,0.9407877783045052,669,466.50821416767997
0.016772171719007,0.534044978075838,0.0640836209344033,0.8323571720897764,1181,3500.6399323214246
0.0078816047517858,0.6895159227912586,0.0521436386228826,0.9795449787134268,1267,4190.723149078211
0.0083613453567266,0.3865581392204495,0.2454593568349497,1.009933869884306,1481,1064.9783662832049
0.0031983936442356,0.4767460977579421,0.0099125079095262,0.8289344585152386,1313,117.6795040587
0.0079994571604637,0.6449408175209852,0.019106579983264,0.8872597023702704,1055,4263.956480054345
0.0067138796873219,0.6316016602847327,0.2160340005170794,1.1466028883393402,1550,3336.7623699852074
0.0062715578341009,0.8242781038276201,0.0212291611817682,0.8937022447842957,1034,5538.79822511717
0.0024331818071545,0.5823977448474811,0.1514829032910968,0.8598183106534557,1043,1234.6558823741063
0.0096619992089674,0.441333831943819,0.0678935077867783,1.062664620379814,464,1316.045933294666
0.0074483367216056,0.8285121922615812,0.0823152731960865,1.2122187815982066,944,4768.536759313884
0.0023692027353581,0.3663092802884409,0.4597862462080842,1.0322633533471632,1011,128.19774691033405
0.0064306762539354,0.2375776193269571,0.4126705209171912,1.0335328566274842,1290,73.03828634720085
0.0062474847244225,0.3422668377727906,0.0276505523381038,0.8526356062511149,547,440.96815484980596
0.0037859164407077,0.8690573599394158,0.0105028659250781,1.2757254479083968,544,2.06373289765
0.0114569938203104,0.8941359439627254,0.0449091997821456,1.0334565127081687,1774,6018.9527198600645
0.0111164709446628,0.8343159194786334,0.0189868490632199,0.7759428403539853,1724,6073.716671406225
0.0029570925248286,0.4170752651334088,0.3858351885603162,0.9998441791651967,862,317.94823156260253
0.0087067465821587,0.4857710569736808,0.0106042789791541,0.8765386868104934,1548,3756.82498471755
0.0127912642943271,0.5114402824984947,0.0210420503129117,0.8519380759124585,1814,3711.7706871090018
0.0070895143940606,0.2108078950367292,0.0316051049674316,0.8931072086901504,505,65.3867855934455
0.0083407841057578,0.6761739395309162,0.0169798662084923,1.0389263932223776,1002,4349.63633639808
0.0140292107576668,0.3779487289477673,0.0322671462749919,0.9286925906093576,1600,1655.6819808516743
0.0158668170667344,0.6924460312517684,0.0146473680997454,0.752489230350506,1482,5574.21414906365
0.0174442065309754,0.8988290833688213,0.0179026443749364,1.1629876271913624,891,6133.421352322695
0.0190308614181989,0.8432824338827982,0.0378102063229449,0.977743097073284,1636,6070.4369846174095
0.0171628383597564,0.7598868512721775,0.0378745410502891,1.084981774269826,1685,5770.25010636668
0.0159898053501975,0.8911512911764743,0.226569416620213,0.8374501104568368,969,5199.454356048729
0.0092347410182451,0.3420890314532233,0.0284386967885052,0.9298758898054472,1824,804.72272568772
0.0156753307075707,0.2830555242391186,0.0304890654598974,1.124091588622831,1612,678.6529443805515
0.0135270323392062,0.3659169981285519,0.3409817075073246,0.7302232251116725,1682,1231.1801305943814
0.0051644282991444,0.8647529387961419,0.0519249810178713,1.2266434515886555,1067,5125.50323392493
0.0139353315013924,0.670445269677112,0.2109695179723361,1.2873380857232894,1126,4065.107015445948
0.0077725686773682,0.33180328853907,0.0266970630085528,0.7799154908169867,1768,696.0673208582281
0.0130744042399038,0.8203283205911811,0.2473803949404338,1.22822840951329,730,4624.022825752595
0.0134695807837845,0.3321890790327516,0.0305951108112802,0.8741140406830107,444,951.7565922902929
0.0139889922134403,0.5264622869408059,0.0921806216678608,1.212145875294119,1618,3208.7944506060935
0.0175165022163806,0.7205172121988965,0.043851184234462,1.0323475283545056,1405,5333.242403246925
0.0055805538205635,0.288477765743529,0.0417458405872307,1.2308595861228602,1476,114.80528653331301
0.0139050685512746,0.3726312563424684,0.0435444477634771,0.9553737989479608,1474,1580.3147939784392
0.019682615064699,0.815259979112497,0.2010641796616928,1.203351118899756,1158,5164.373439433426
0.0138612428865032,0.5764900667173447,0.0121940501671882,1.0962445186284873,1721,5087.98588585039
0.0077141343614741,0.8265872402206753,0.4936568863190675,0.8230034770678185,611,3764.407442522017
0.0032081723009494,0.7343783155002679,0.0217848659082271,0.974725764230154,828,3817.477556367215
0.0064394387209669,0.7696424152330363,0.0656369856386091,0.8136876631571,1478,4823.23587802417
0.0062500122656953,0.5516718237392064,0.0294755204671807,1.2114644034809974,1226,2757.69920642563
0.0045088920185286,0.4320856905205841,0.0489061978328106,1.126382134383438,955,580.61377348988
0.0143406302852751,0.8955237576665731,0.1724388753916154,1.16295468206102,634,5107.137321602938
0.014088527642101,0.6859817886700451,0.2419589672164932,1.163263417609185,1651,4441.910245742237
0.0028846010354074,0.5604053815286288,0.0151027404956785,0.9467966796999578,1189,2415.946097265995
0.0129113432317186,0.6684929495218895,0.025120501030297,1.0396850471191683,1547,5322.943804098215
0.0041511852306238,0.7172847998644216,0.0537861811882655,1.2157124867544271,959,3694.4321118196362
0.0168682253047032,0.7760337284670284,0.1837092675692265,0.7812590290335657,1227,4967.915665692757
0.0144626318274954,0.3713979462913865,0.1019880329124837,1.241175352594885,767,934.0632559799175
0.0030281800961168,0.2386212706963659,0.4215934876619457,1.0676438109139337,1426,46.7300781729117
